dog_id,gender,pet_breed,dob,dod,is_neutered
37,Male,Whippet,2009-08-18 00:00:00+00:00,,True
38,Male,Mixed Breed,2018-04-03 09:24:00+00:00,,True
39,Male,"Terrier, Staffordshire Bull",2010-09-17 00:00:00+00:00,,True
40,Male,Terrier,2015-08-04 12:55:00+00:00,,True
41,Female,Schnauzer,2009-01-13 00:00:00+00:00,2020-10-01T16:36:40.000Z,True
42,Male,Schnauzer,2016-10-20 15:29:00+00:00,,True
43,Male,Husky,2014-06-26 00:00:00+00:00,,True
44,Male,"Schnauzer, Miniature",2011-08-22 00:00:00+00:00,,True
45,Male,Shih Tzu,2008-12-02 00:00:00+00:00,,True
46,Female,Husky,2014-03-13 00:00:00+00:00,,True
47,Male,"Bulldog, English",2017-05-18 00:00:00+00:00,,True
48,Male,Rhodesian Ridgeback,2008-09-25 17:07:00+00:00,2020-09-10T00:00:00.000Z,True
49,Female,Retriever,2016-11-09 14:27:00+00:00,,True
50,Female,"Terrier, Jack Russell",2012-03-27 15:36:00+00:00,,True
51,Female,"Terrier, American Staffordshire",2017-12-29 16:02:00+00:00,,True
52,Male,"Shepherd, German",2016-05-24 00:00:00+00:00,,True
53,Male,Dachshund,2018-04-01 00:00:00+00:00,,True
54,Female,Pit Bull,2012-01-14 00:00:00+00:00,,True
55,Female,Poodle,2018-04-20 00:00:00+00:00,,False
56,Male,"Bulldog, French",2019-02-22 00:00:00+00:00,,False
57,Male,"Schnauzer, Standard",2014-06-01 10:29:00+00:00,,True
58,Female,Shih Tzu,2009-07-27 17:22:00+00:00,,True
59,Female,Siberian Husky,2015-07-17 00:00:00+00:00,,True
60,Male,"Retriever, Labrador",2009-12-31 00:00:00+00:00,2020-08-10T12:58:00.000Z,True
61,Female,Great Dane,2011-05-21 18:12:00+00:00,,True
62,Female,Basenji,2018-03-03 00:00:00+00:00,,True
63,Male,Great Pyrenees,2018-05-10 00:00:00+00:00,,True
64,Female,Mixed Breed,2017-02-26 00:00:00+00:00,,True
65,Female,"Collie, Border",2009-11-10 17:04:00+00:00,,True
66,Female,"Retriever, Labrador",2016-08-20 10:50:00+00:00,,True
67,Male,Retriever,2015-06-15 16:18:00+00:00,,False
68,Female,Boxer,2018-02-12 15:40:00+00:00,,True
69,Male,"Retriever, Labrador",2014-10-23 00:00:00+00:00,,True
70,Female,"Retriever, Labrador",2007-06-13 00:00:00+00:00,2020-06-18T14:24:00.000Z,True
71,Male,"Shepherd, German",2019-01-25 21:00:00+00:00,,True
72,Female,"Terrier, Soft-Coated Wheaten",2012-10-30 00:00:00+00:00,,True
73,Female,Boxer,2013-06-03 14:38:00+00:00,2021-04-30T18:33:00.000Z,True
74,Male,"Bulldog, French",2015-11-18 14:17:00+00:00,,False
75,Female,Mixed Breed,2016-10-20 13:52:00+00:00,,True
76,Female,"Shepherd, German",2012-01-06 13:08:00+00:00,,True
77,Female,"Collie, Border",2014-05-01 00:00:00+00:00,,True
78,Male,Lhasa Apso,2009-04-23 09:57:00+00:00,,True
79,Female,Hound,2016-12-20 16:52:00+00:00,,True
80,Female,"Terrier, Welsh",2015-08-18 00:00:00+00:00,,True
81,Female,"Terrier, Boston",2007-07-31 13:50:00+00:00,,True
82,Female,Great Dane,2017-06-30 21:00:00+00:00,,True
83,Female,"Collie, Border",2008-05-13 00:00:00+00:00,,True
84,Male,Mixed Breed,2009-10-27 00:00:00+00:00,,True
85,Male,Mixed Breed,2016-10-12 14:23:00+00:00,,True
86,Male,"Pinscher, Miniature",2011-03-10 00:00:00+00:00,,True
87,Male,Rottweiler,2014-03-23 00:00:00+00:00,,True
88,Male,Husky,2011-07-11 09:48:00+00:00,,True
89,Female,Husky,2018-06-25 00:00:00+00:00,,True
90,Male,Rottweiler,2018-05-09 11:51:00+00:00,,False
91,Male,Hound,2013-10-09 16:50:00+00:00,,True
92,Female,"Retriever, Golden",2007-08-14 00:00:00+00:00,2020-08-02T00:00:00.000Z,True
93,Male,Pit Bull,2019-02-19 00:00:00+00:00,,False
94,Female,Pug,2006-05-15 00:00:00+00:00,2021-08-05T12:32:42.000Z,True
95,Male,"Schnauzer, Miniature",2012-03-07 17:38:00+00:00,,True
96,Female,"Retriever, Labrador",2017-01-06 10:58:00+00:00,,True
97,Male,Poodle,2015-04-20 00:00:00+00:00,,True
98,Female,"Retriever, Labrador",2019-11-11 00:00:00+00:00,,True
99,Male,"Retriever, Labrador",2011-02-24 09:09:00+00:00,,True
100,Female,"Spaniel, Cocker",2004-04-10 14:51:00+00:00,2019-08-21T18:15:59.000Z,True
101,Male,Husky,2014-12-25 14:35:00+00:00,,True
102,Female,Mixed Breed,2013-02-14 00:00:00+00:00,,True
103,Male,Retriever,2019-02-18 00:00:00+00:00,,True
104,Male,"Spaniel, Cavalier King Charles",2014-12-24 14:30:00+00:00,,True
105,Male,"Pinscher, Miniature",2006-09-16 00:00:00+00:00,,True
106,Female,"Shepherd, German",2018-07-14 00:00:00+00:00,,True
107,Male,"Terrier, Bull",2017-12-18 09:51:00+00:00,,True
108,Male,Boxer,2016-08-15 00:00:00+00:00,,True
109,Female,"Spaniel, Cavalier King Charles",2018-06-21 00:00:00+00:00,,True
110,Male,"Bulldog, English",2017-08-21 00:00:00+00:00,,True
111,Male,"Poodle, Toy",2014-06-13 09:26:00+00:00,,True
112,Male,"Terrier, Yorkshire",2010-03-01 00:00:00+00:00,,True
113,Female,"Retriever, Labrador",2016-11-14 00:00:00+00:00,,True
114,Male,"Retriever, Labrador",2017-09-19 00:00:00+00:00,,True
115,Female,"Dachshund, Long Haired",2014-11-18 00:00:00+00:00,2021-09-07T00:00:00.000Z,True
116,Female,Akita,2010-01-09 00:00:00+00:00,,True
117,Male,"Terrier, Jack Russell",2010-12-16 10:49:00+00:00,,True
118,Male,Pit Bull,2018-07-20 00:00:00+00:00,,True
119,Male,"Retriever, Golden",2014-12-16 00:00:00+00:00,,True
120,Female,Retriever,2011-09-22 00:00:00+00:00,,True
121,Male,"Shepherd, German",2012-12-31 11:02:00+00:00,,True
122,Male,Terrier,2007-01-16 00:00:00+00:00,,True
123,Female,Terrier,2017-05-14 09:57:00+00:00,,True
124,Male,Great Pyrenees,2011-09-02 09:30:00+00:00,,True
125,Male,Great Dane,2018-06-07 17:38:00+00:00,,True
126,Male,"Retriever, Labrador",2007-11-29 00:00:00+00:00,,True
127,Female,"Retriever, Golden",2013-05-03 09:46:00+00:00,,True
128,Male,"Shepherd, German",2006-06-06 14:04:00+00:00,2021-01-21T13:34:00.000Z,True
129,Female,"Terrier, Staffordshire Bull",2010-04-19 10:39:00+00:00,,True
130,Male,Chihuahua,2016-08-06 11:29:00+00:00,,True
131,Male,"Bulldog, English",2014-07-15 00:00:00+00:00,,True
132,Male,Chihuahua (Long Coat),2017-03-18 12:04:00+00:00,,True
133,Female,Retriever,2012-10-13 00:00:00+00:00,,True
134,Female,Rottweiler,2019-08-24 00:00:00+00:00,,True
135,Male,Poodle,2012-04-06 00:00:00+00:00,,True
136,Female,"Collie, Border",2018-08-17 00:00:00+00:00,,True
137,Male,"Retriever, Labrador",2009-03-23 00:00:00+00:00,,True
138,Female,Pit Bull,2017-12-27 11:32:00+00:00,,False
139,Male,"Retriever, Labrador",2018-09-15 00:00:00+00:00,,True
140,Female,"Mountain Dog, Bernese",2016-02-26 00:00:00+00:00,,True
141,Male,Shih Tzu,2009-10-23 00:00:00+00:00,,True
142,Male,Mixed Breed,2017-05-01 00:00:00+00:00,,True
143,Female,"Spaniel, Cocker",2013-01-28 00:00:00+00:00,,True
144,Female,Boxer,2017-09-12 13:47:00+00:00,,True
145,Female,"Hound, Plott",2017-04-13 09:15:00+00:00,,True
146,Female,Hound,2013-12-06 00:00:00+00:00,,True
147,Male,"Retriever, Labrador",2019-01-14 16:08:00+00:00,,True
148,Female,"Collie, Border",2016-11-13 14:24:00+00:00,,True
149,Male,Shih Tzu,2012-02-28 15:17:00+00:00,,True
150,Male,"Mountain Dog, Bernese",2012-12-28 10:02:00+00:00,,True
151,Male,Boxer,2017-09-08 00:00:00+00:00,,True
152,Male,Greyhound,2009-08-22 00:00:00+00:00,,True
153,Male,"Hound, Basset",2011-03-08 15:07:00+00:00,,True
154,Female,Poodle,2007-05-03 00:00:00+00:00,,True
155,Female,Retriever,2017-01-08 00:00:00+00:00,,True
156,Female,Pit Bull,2007-04-20 00:00:00+00:00,,True
157,Female,"Bulldog, French",2017-08-07 17:46:00+00:00,,True
158,Male,Poodle,2009-07-18 00:00:00+00:00,,True
159,Female,Schnauzer,2012-01-13 00:00:00+00:00,2020-08-04T15:48:00.000Z,True
160,Male,"Shepherd, Australian",2017-07-15 00:00:00+00:00,,True
161,Female,"Retriever, Labrador",2014-09-08 11:41:00+00:00,,True
162,Male,"Terrier, Yorkshire",2018-02-17 00:00:00+00:00,,True
163,Female,Collie,2018-09-13 00:00:00+00:00,,True
164,Male,Chihuahua,2007-07-21 00:00:00+00:00,2020-09-10T00:00:00.000Z,True
165,Female,"Retriever, Labrador",2017-11-27 00:00:00+00:00,,True
166,Male,"Bulldog, American",2015-06-14 00:00:00+00:00,,True
167,Male,"Retriever, Labrador",2016-02-23 18:54:00+00:00,,True
168,Female,Sharpei,2015-06-20 10:57:00+00:00,,True
169,Male,Bichon Frise,2016-10-21 00:00:00+00:00,,True
170,Male,Pug,2014-02-20 00:00:00+00:00,,True
171,Female,Terrier,2012-08-08 07:20:00+00:00,,True
172,Female,Mixed Breed,2012-12-15 00:00:00+00:00,,True
173,Male,"Terrier, Yorkshire",2014-12-03 00:00:00+00:00,,True
174,Female,Boxer,2016-05-05 00:00:00+00:00,,True
175,Female,Pointer,2017-03-22 14:11:00+00:00,,True
176,Female,"Bulldog, French",2019-06-30 00:00:00+00:00,,True
177,Female,"Retriever, Labrador",2019-06-18 00:00:00+00:00,,True
178,Female,"Retriever, Golden",2004-08-10 16:54:00+00:00,2020-05-21T06:22:33.000Z,True
179,Female,Dalmatian,2011-12-07 15:46:00+00:00,,True
180,Male,"Shepherd, Australian",2019-03-29 21:00:00+00:00,,True
181,Female,Mixed Breed,2016-04-28 00:00:00+00:00,,True
182,Male,Great Dane,2016-09-06 00:00:00+00:00,,True
183,Male,Schnauzer,2007-02-28 16:57:00+00:00,2020-09-02T16:25:00.000Z,True
184,Male,Pit Bull,2016-06-18 16:06:00+00:00,,False
185,Male,"Mountain Dog, Bernese",2013-06-18 00:00:00+00:00,2020-10-12T16:38:47.000Z,True
186,Female,Catahoula Leopard Dog,2008-03-16 00:00:00+00:00,,True
187,Male,"Terrier, Airedale",2016-06-17 00:00:00+00:00,,False
188,Female,"Collie, Border",2007-10-10 00:00:00+00:00,,True
189,Female,Maltese,2012-07-20 18:33:00+00:00,,True
190,Female,"Retriever, Golden",2017-11-22 10:06:00+00:00,,True
191,Male,"Retriever, Labrador",2013-02-01 08:21:00+00:00,,True
192,Male,Mixed Breed,2014-03-01 00:00:00+00:00,,True
193,Female,"Retriever, Labrador",2018-06-14 11:15:00+00:00,,True
194,Female,"Retriever, Golden",2016-07-01 00:00:00+00:00,,False
195,Male,Chihuahua,2015-04-03 16:58:00+00:00,,True
196,Male,"Retriever, Labrador",2016-03-31 00:00:00+00:00,,True
197,Male,Terrier,2016-10-24 00:00:00+00:00,,True
198,Male,"Shepherd, German",2010-03-14 00:00:00+00:00,,True
199,Male,"Shepherd, English",2018-02-25 15:31:00+00:00,,True
200,Female,"Shepherd, German",2018-12-07 00:00:00+00:00,,True
201,Male,Pug,2010-05-16 17:06:00+00:00,,True
202,Male,Pomeranian,2010-04-23 12:05:00+00:00,,True
203,Male,"Retriever, Labrador",2009-11-20 14:22:00+00:00,,True
204,Female,"Retriever, Labrador",2018-08-31 15:27:00+00:00,,True
205,Male,"Retriever, Golden",2007-04-24 00:00:00+00:00,,True
206,Female,"Retriever, Golden",2008-05-13 00:00:00+00:00,,True
207,Male,Portuguese Water Dog,2016-08-01 00:00:00+00:00,,True
208,Male,"Shepherd, German",2017-06-19 00:00:00+00:00,,True
209,Male,Shih Tzu,2010-04-14 16:17:00+00:00,,True
210,Male,Pit Bull,2013-06-22 13:56:00+00:00,,True
211,Male,Beagle,2013-11-28 18:26:00+00:00,,True
212,Male,"Pointer, German Shorthaired",2018-05-31 00:00:00+00:00,,True
213,Female,Pit Bull,2018-06-13 16:59:00+00:00,2019-06-14T18:09:34.000Z,True
214,Male,Cane Corso,2014-09-04 15:02:00+00:00,,False
215,Male,Maltese,2015-10-15 10:20:00+00:00,,True
216,Male,Mixed Breed,2014-02-04 14:07:00+00:00,,True
217,Female,Terrier,2013-03-19 00:00:00+00:00,,True
218,Female,Mixed Breed,2018-06-25 19:03:00+00:00,,True
219,Female,"Shepherd, German",2017-02-05 16:45:00+00:00,,True
220,Female,Pomeranian,2017-06-01 00:00:00+00:00,,True
221,Male,Chihuahua,2017-12-02 00:00:00+00:00,,True
222,Male,"Shepherd, Australian",2010-03-09 00:00:00+00:00,,True
223,Male,Havanese,2015-12-14 00:00:00+00:00,,True
224,Female,"Retriever, Curly Coated",2015-09-12 10:00:00+00:00,,True
225,Male,Husky,2017-06-21 08:43:00+00:00,,True
226,Male,"Terrier, Yorkshire",2017-01-12 15:28:00+00:00,,True
227,Male,Mixed Breed,2019-04-01 13:11:00+00:00,,True
228,Female,"Schnauzer, Miniature",2018-05-12 00:00:00+00:00,,True
229,Male,Coton de Tulear,2016-09-10 14:30:00+00:00,,True
230,Male,"Mountain Dog, Bernese",2007-12-13 00:00:00+00:00,2020-03-29T12:30:00.000Z,True
231,Male,"Retriever, Labrador",2012-03-23 00:00:00+00:00,,True
232,Male,"Shepherd, German",2014-11-06 12:31:00+00:00,,True
233,Female,"Retriever, Labrador",2011-06-02 00:00:00+00:00,,True
234,Male,Boxer,2018-05-01 00:00:00+00:00,,True
235,Male,"Poodle, Miniature",2007-06-29 00:00:00+00:00,,True
236,Female,"Shepherd, German",2015-08-21 16:11:00+00:00,,True
237,Female,Boxer,2015-04-23 00:00:00+00:00,,True
238,Male,"Retriever, Labrador",2014-01-01 00:00:00+00:00,,True
239,Female,Pit Bull,2018-07-11 15:03:00+00:00,,True
240,Female,Corgi,2016-12-31 00:00:00+00:00,,True
241,Male,Pug,2016-10-18 19:03:00+00:00,,False
242,Female,"Retriever, Labrador",2008-11-08 00:00:00+00:00,,True
243,Female,"Poodle, Miniature",2009-04-21 00:00:00+00:00,,True
244,Female,Shih Tzu,2007-09-27 00:00:00+00:00,,True
245,Male,Pit Bull,2017-12-24 00:00:00+00:00,,False
246,Male,"Shepherd, German",2017-01-21 08:38:00+00:00,,True
247,Female,"Pinscher, Miniature",2004-12-29 09:13:00+00:00,,True
248,Female,"Bulldog, French",2016-02-18 00:00:00+00:00,,True
249,Male,Dalmatian,2019-06-30 17:05:00+00:00,,False
250,Male,Chihuahua,2016-01-22 10:36:00+00:00,,True
251,Male,"Shepherd, Australian",2011-07-09 00:00:00+00:00,,True
252,Female,Pit Bull,2015-02-21 11:17:00+00:00,,True
253,Male,"Retriever, Labrador",2016-07-23 00:00:00+00:00,,True
254,Female,Pomeranian,2019-08-09 00:00:00+00:00,,True
255,Male,"Shepherd, German",2018-05-08 17:02:00+00:00,,True
256,Female,Pit Bull,2013-11-08 14:24:00+00:00,,True
257,Male,"Shepherd, Australian",2015-02-14 00:00:00+00:00,,True
258,Male,Beagle,2009-03-14 00:00:00+00:00,,True
259,Female,Cane Corso,2018-06-20 00:00:00+00:00,,False
260,Male,Mixed Breed,2016-12-24 00:00:00+00:00,,True
261,Female,Mixed Breed,2015-01-04 00:00:00+00:00,,True
262,Male,Hound,2012-11-28 00:00:00+00:00,,True
263,Male,Shih Tzu,2007-01-07 09:22:00+00:00,,True
264,Male,Rhodesian Ridgeback,2014-09-29 00:00:00+00:00,,True
265,Female,Poodle,2017-04-19 14:23:00+00:00,,True
266,Female,"Terrier, West Highland White",2013-11-29 14:57:00+00:00,,True
267,Female,Pit Bull,2015-11-08 00:00:00+00:00,,True
268,Male,Shih Tzu,2007-01-03 00:00:00+00:00,,True
269,Male,"Retriever, Labrador",2010-11-19 16:09:00+00:00,,True
270,Female,Shih Tzu,2007-02-14 00:00:00+00:00,,True
271,Male,Boxer,2018-08-09 00:00:00+00:00,,True
272,Male,"Bulldog, English",2015-03-20 09:30:00+00:00,,True
273,Male,Pug,2012-02-09 15:57:00+00:00,,True
274,Male,"Bulldog, American",2011-11-09 00:00:00+00:00,,True
275,Female,Boxer,2012-01-05 17:47:00+00:00,,True
276,Male,Great Pyrenees,2016-06-15 17:01:00+00:00,,True
277,Female,Pit Bull,2016-07-14 00:00:00+00:00,,True
278,Female,"Retriever, Labrador",2009-06-02 14:57:00+00:00,2019-11-21T00:00:00.000Z,False
279,Male,"Shepherd, German",2015-09-02 08:18:00+00:00,,True
280,Male,Terrier,2017-04-20 00:00:00+00:00,,True
281,Female,Pit Bull,2016-02-09 10:33:00+00:00,,True
282,Male,Retriever,2013-04-30 17:07:00+00:00,,True
283,Male,"Retriever, Golden",2018-10-22 00:00:00+00:00,,True
284,Female,Mixed Breed,2017-12-09 10:16:00+00:00,,True
285,Male,"Retriever, Labrador",2017-06-12 00:00:00+00:00,,True
286,Male,Alaskan Malamute,2019-01-11 00:00:00+00:00,,False
287,Male,"Collie, Border",2016-12-21 00:00:00+00:00,,True
288,Female,"Retriever, Labrador",2013-12-04 00:00:00+00:00,,True
289,Male,"Retriever, Labrador",2014-12-06 00:00:00+00:00,,True
290,Male,"Bulldog, American",2012-12-18 00:00:00+00:00,,True
291,Female,"Shepherd, Australian",2016-01-01 16:21:00+00:00,,True
292,Male,Chihuahua,2019-02-17 00:00:00+00:00,,True
293,Female,"Hound, Basset",2008-01-28 11:26:00+00:00,2021-07-08T00:00:00.000Z,True
294,Female,Shih Tzu,2006-11-06 17:10:00+00:00,,True
295,Female,Pekingese,2006-05-30 09:24:00+00:00,2019-10-16T10:33:38.000Z,True
296,Female,"Bulldog, French",2019-05-07 00:00:00+00:00,,True
297,Female,Corgi,2014-11-22 00:00:00+00:00,,True
298,Male,"Dachshund, Miniature Wire Haired",2015-06-15 00:00:00+00:00,,True
299,Female,"Terrier, Jack Russell",2011-06-25 11:19:00+00:00,,True
300,Male,Beagle,2014-03-13 00:00:00+00:00,,True
301,Female,Maltese,2016-02-19 13:48:00+00:00,,True
302,Male,"Griffon, Brussels",2012-05-02 15:14:00+00:00,,True
303,Female,"Retriever, Labrador",2007-06-30 00:00:00+00:00,2020-01-07T14:50:29.000Z,True
304,Male,Rottweiler,2014-09-10 13:00:00+00:00,,True
305,Male,Pekingese,2019-01-27 00:00:00+00:00,,True
306,Female,Mastiff,2010-11-01 00:00:00+00:00,,True
307,Female,Corgi,2014-08-06 00:00:00+00:00,,True
308,Male,"Schnauzer, Miniature",2010-01-20 17:06:00+00:00,,True
309,Male,Chihuahua,2011-12-25 00:00:00+00:00,,True
310,Female,Catahoula Leopard Dog,2018-05-07 13:25:00+00:00,,True
311,Male,Mixed Breed,2009-01-15 08:13:00+00:00,,True
312,Female,Pug,2014-09-17 10:06:00+00:00,,True
313,Male,"Poodle, Miniature",2014-10-12 11:27:00+00:00,,True
314,Male,Rottweiler,2018-02-23 18:29:00+00:00,,False
315,Male,Schnauzer,2013-03-01 14:30:00+00:00,,True
316,Female,"Terrier, Boston",2013-10-10 11:59:00+00:00,,True
317,Female,Pit Bull,2012-04-15 00:00:00+00:00,,True
318,Male,"Shepherd, German",2011-11-11 00:00:00+00:00,,False
319,Female,Pit Bull,2015-05-02 17:51:00+00:00,,True
320,Male,"Shepherd, Australian",2015-11-26 00:00:00+00:00,,True
321,Male,"Pinscher, Doberman",2014-08-19 00:00:00+00:00,,True
322,Female,Pit Bull,2014-04-27 15:38:00+00:00,,True
323,Female,Pit Bull,2017-01-06 00:00:00+00:00,,True
324,Female,Presa Canario,2014-09-12 00:00:00+00:00,,True
325,Male,Pit Bull,2011-08-23 13:12:00+00:00,,True
326,Male,Great Pyrenees,2017-03-16 00:00:00+00:00,,True
327,Male,"Dachshund, Short Haired",2017-06-09 00:00:00+00:00,,True
328,Female,"Terrier, Yorkshire",2016-07-10 12:22:00+00:00,,True
329,Male,"Shepherd, German",2019-03-28 00:00:00+00:00,,True
330,Male,Lhasa Apso,2009-01-14 17:56:00+00:00,,True
331,Male,"Terrier, Soft-Coated Wheaten",2018-06-23 00:00:00+00:00,,True
332,Female,"Retriever, Labrador",2017-02-07 00:00:00+00:00,,True
333,Female,Retriever,2009-01-01 00:00:00+00:00,,True
334,Male,Maltese,2007-09-29 10:23:00+00:00,,True
335,Female,Pit Bull,2008-08-01 17:33:00+00:00,,True
336,Male,Chihuahua,2010-08-12 14:06:00+00:00,,True
337,Female,"Shepherd, Australian",2014-07-26 06:51:00+00:00,,True
338,Male,"Collie, Border",2015-01-31 10:42:00+00:00,,True
339,Female,Cane Corso,2010-12-11 17:49:00+00:00,,True
340,Female,Maltese,2015-01-18 00:00:00+00:00,,True
341,Male,Chihuahua,2018-05-01 00:00:00+00:00,,True
342,Female,"Retriever, Labrador",2018-08-06 00:00:00+00:00,,True
343,Female,Pit Bull,2015-06-03 00:00:00+00:00,,True
344,Male,Mastiff,2015-06-12 13:53:00+00:00,,True
345,Male,"Retriever, Labrador",2014-10-08 00:00:00+00:00,,True
346,Male,"Retriever, Golden",2017-03-26 00:00:00+00:00,,True
347,Male,"Terrier, Parson Russell",2008-10-02 10:33:00+00:00,,True
348,Female,"Shepherd, German",2013-12-28 00:00:00+00:00,,True
349,Male,"Retriever, Labrador",2014-07-16 00:00:00+00:00,,True
350,Female,Pit Bull,2019-03-12 00:00:00+00:00,,False
351,Male,"Pointer, German Shorthaired",2019-01-08 21:00:00+00:00,,True
352,Male,"Retriever, Golden",2018-02-19 00:00:00+00:00,,False
353,Male,"Pointer, German Shorthaired",2009-01-05 00:00:00+00:00,2020-02-10T00:00:00.000Z,True
354,Female,Shih Tzu,2010-04-27 00:00:00+00:00,,True
355,Male,"Bulldog, English",2018-11-02 00:00:00+00:00,,True
356,Female,Havanese,2014-09-01 16:32:00+00:00,,True
357,Male,"Shepherd, German",2012-06-21 00:00:00+00:00,,True
358,Male,Boxer,2018-11-18 14:12:00+00:00,,True
359,Female,"Bulldog, American",2018-07-12 10:31:00+00:00,,True
360,Male,"Shepherd, German",2019-03-30 00:00:00+00:00,,False
361,Female,"Retriever, Golden",2017-02-10 00:00:00+00:00,,True
362,Female,Great Dane,2017-12-02 00:00:00+00:00,,False
363,Male,Terrier,2016-08-01 00:00:00+00:00,,True
364,Male,Chihuahua,2013-10-07 00:00:00+00:00,,True
365,Male,"Terrier, Boston",2018-07-27 00:00:00+00:00,,True
366,Male,"Bulldog, French",2016-11-01 00:00:00+00:00,,True
367,Male,"Retriever, Labrador",2012-11-10 00:00:00+00:00,,True
368,Male,"Schnauzer, Miniature",2005-11-16 00:00:00+00:00,,True
369,Male,"Retriever, Golden",2019-01-11 00:00:00+00:00,,True
370,Female,"Terrier, Jack Russell",2014-04-02 00:00:00+00:00,,True
371,Male,"Shepherd, German",2016-05-05 00:00:00+00:00,,True
372,Female,"Terrier, Yorkshire",2017-05-07 09:43:00+00:00,,True
373,Male,"Terrier, Bull",2013-06-05 13:14:00+00:00,,True
374,Female,Terrier,2011-02-15 00:00:00+00:00,,True
375,Female,Beagle,2014-12-22 14:56:00+00:00,,True
376,Male,"Retriever, Labrador",2015-05-16 15:51:00+00:00,,True
377,Male,Retriever,2014-05-11 11:04:00+00:00,,True
378,Female,"Retriever, Golden",2017-08-24 09:40:00+00:00,,True
379,Female,Mixed Breed,2009-06-04 11:01:00+00:00,,False
380,Male,Pit Bull,2015-07-03 00:00:00+00:00,,True
381,Female,"Retriever, Labrador",2015-06-15 00:00:00+00:00,,True
382,Female,Boxer,2012-08-21 10:43:00+00:00,,True
383,Female,Great Pyrenees,2016-09-22 17:59:00+00:00,,True
384,Male,"Retriever, Labrador",2009-01-06 00:00:00+00:00,,True
385,Female,Mixed Breed,2011-11-16 01:00:00+00:00,,True
386,Female,"Retriever, Golden",2008-05-29 16:40:00+00:00,2020-05-10T00:00:00.000Z,True
387,Male,"Shepherd, German",2015-04-06 17:27:00+00:00,,True
388,Female,Maltese,2016-02-11 21:00:00+00:00,,False
389,Male,"Shepherd, Anatolian",2015-07-28 00:00:00+00:00,,True
390,Female,"Terrier, Bull",2011-08-15 00:00:00+00:00,,True
391,Female,Pit Bull,2015-02-01 00:00:00+00:00,,True
392,Female,Catahoula Leopard Dog,2018-09-13 09:57:00+00:00,,True
393,Male,"Retriever, Labrador",2018-04-06 18:00:00+00:00,,False
394,Female,Poodle,2017-09-10 00:00:00+00:00,,True
395,Male,Pit Bull,2015-09-08 15:44:00+00:00,,True
396,Male,Chihuahua (Smooth Coat),2014-06-12 00:00:00+00:00,,True
397,Female,Boxer,2014-04-04 00:00:00+00:00,,True
398,Male,Beagle,2016-11-22 10:28:00+00:00,,True
399,Female,"Shepherd, German",2018-10-11 17:52:00+00:00,,True
400,Male,Pomeranian,2008-08-30 00:00:00+00:00,,True
401,Male,Chihuahua,2011-01-16 00:00:00+00:00,,True
